berthage,avg_parking_time
"210415",2915
"208679",2914
"206076",2910
"201112",2909
"210427",2905
"201224",2904
"211279",2900
"201141",2898
"201219",2896
"208262",2896
"203339",2892
"210157",2892
"210181",2892
"202306",2890
"211159",2889
"210009",2889
"210333",2889
"210182",2887
"210345",2886
"206093",2885
"201125",2885
"206095",2883
"203345",2882
"203024",2882
"208280",2881
"208269",2878
"203259",2876
"201108",2876
"210006",2875
"208263",2873
"206094",2872
"203111",2872
"205141",2871
"201216",2868
"211251",2868
"210264",2867
"203108",2864
"210332",2860
"206055",2860
"205101",2858
"205144",2858
"201217",2857
"210004",2854
"201118",2854
"210262",2853
"210428",2851
"211046",2849
"208286",2847
"208264",2846
"204219",2845
"201120",2845
"210201",2844
"205142",2843
"210238",2837
"201188",2837
"208266",2833
"208284",2833
"210015",2833
"205134",2830
"210430",2829
"210058",2824
"203071",2824
"201194",2821
"210156",2818
"203027",2817
"210060",2817
"206096",2814
"211153",2814
"210425",2810
"211264",2810
"210005",2808
"202305",2799
"203377",2799
"210265",2797
"201186",2795
"206019",2794
"203077",2790
"206016",2789
"211265",2784
"201185",2781
"206092",2780
"206075",2780
"210299",2778
"208279",2776
"211149",2776
"208285",2775
"201183",2775
"203026",2774
"211150",2772
"210261",2770
"201119",2770
"210375",2765
"205140",2764
"210374",2763
"201156",2762
"210472",2761
"210258",2759
"210373",2758
"201128",2757
"210334",2757
"201182",2755
"201215",2754
"206053",2751
"203342",2748
"210002",2746
"201187",2745
"208270",2744
"201129",2743
"211222",2736
"203338",2734
"211221",2733
"201126",2733
"208265",2731
"210064",2726
"210466",2725
"208283",2723
"208282",2722
"206054",2717
"211281",2716
"208309",2716
"201228",2713
"203020",2711
"206056",2710
"201130",2707
"201121",2705
"203021",2702
"211278",2702
"203337",2702
"201214",2699
"210007",2698
"201193",2697
"201230",2692
"203257",2691
"210471",2690
"211253",2688
"204180",2687
"201189",2685
"211266",2680
"210376",2679
"210179",2676
"206074",2674
"206073",2674
"206097",2674
"210137",2674
"208281",2673
"201114",2673
"203023",2671
"211157",2670
"204196",2669
"210458",2666
"210220",2665
"201131",2664
"201231",2662
"210003",2662
"203341",2660
"210134",2657
"207144",2657
"211156",2656
"210178",2654
"205139",2654
"201212",2654
"211158",2653
"210132",2652
"204178",2647
"210177",2642
"201227",2641
"210480",2640
"211285",2639
"204195",2639
"203252",2637
"210291",2637
"201190",2637
"210136",2633
"210133",2632
"210010",2629
"210470",2629
"210298",2628
"205105",2628
"210263",2626
"210469",2619
"201213",2619
"205135",2619
"211155",2616
"201132",2613
"210176",2612
"210293",2608
"210257",2603
"205137",2599
"204199",2598
"210001",2592
"210135",2591
"206057",2589
"210175",2587
"201211",2580
"210014",2579
"205138",2575
"203336",2575
"201191",2575
"210292",2572
"203335",2563
"204202",2562
"206072",2561
"210011",2560
"203253",2558
"211135",2558
"204192",2553
"206001",2552
"211291",2548
"206005",2543
"201229",2542
"211290",2541
"210030",2538
"203254",2534
"203018",2531
"203256",2530
"203251",2528
"211283",2526
"203331",2522
"210254",2519
"211141",2516
"210255",2507
"210381",2503
"204181",2503
"211018",2503
"211139",2498
"203334",2485
"203378",2485
"204193",2484
"210297",2483
"203332",2481
"204188",2481
"210253",2479
"211287",2474
"210377",2464
"203019",2460
"203333",2458
"205136",2457
"211284",2453
"210252",2452
"210295",2451
"201226",2437
"203340",2437
"210256",2437
"210429",2426
"211031",2421
"211140",2421
"203022",2409
"206071",2407
"211137",2402
"204182",2400
"211142",2388
"204197",2388
"210421",2384
"211289",2382
"204201",2363
"210200",2362
"211136",2360
"211138",2350
"203379",2332
"210467",2331
"210155",2329
"206003",2325
"210251",2317
"206004",2309
"211288",2301
"206014",2298
"210038",2286
"211286",2280
"202304",2280
"210294",2274
"210199",2269
"210296",2266
"210086",2256
"211020",2241
"201117",2236
"210372",2225
"204186",2175
"206070",2164
"206006",2140
"203380",2139
"210198",2113
"206015",2055
"210154",2044
"206060",2021
"206069",2006
"210023",2000
"210153",1993
"211023",1980
"206058",1950
"206012",1931
"210189",1924
"206007",1901
"210197",1843
"206068",1827
"203381",1806
"210196",1796
"211025",1752
"206011",1746
"206066",1733
"211161",1725
"210188",1700
"210152",1698
"206061",1685
"206013",1650
"206067",1646
"210195",1628
"206010",1615
"206059",1578
"210464",1575
"210190",1575
"210462",1567
"206065",1533
"210148",1494
"210151",1478
"210149",1468
"206062",1463
"210192",1460
"210194",1459
"210150",1451
"206009",1448
"206064",1439
"206063",1382
"204043",1380
"206008",1366
"210191",1345
"210193",1295
"207172",1170
